S2_S1	S3_S2	S4_S3	S5_S4	S6_S5	S7_S6	S8_S7
Picea_mature_1388	-1.84000523163321	1.48436274594521	0.798386127703593	-0.736160047013914	0.347574058460148	-0.0884059100978192	0.310035531337973
Picea_mature_654	-0.540302810400151	1.11401124124953	-0.353190886577224	-1.20345802926139	-0.812887623100582	-1.82966835631563	2.83885095552703
Picea_mature_3020	0.490506885740869	-1.86897534614064	-0.856396292881897	1.99563933836601	-1.42629805094899	1.79360524958034	-2.68103278328792
Picea_mature_3268	0	0	-3.10332158574343	-1.19389750654084	4.22975422896353	0.386876821722243	5.31001883773587
Picea_mature_3434	-0.814255871511786	1.2660467164633	-1.30327339372447	1.02800085829213	-1.51798135722187	2.85754262887069	-2.32106815286788
Picea_mature_2417	1.65963756723949	-3.56625459445854	-2.1718169638403	-1.4610964125156	-0.323049614742254	-0.0566571314897483	0.071859858864857
Picea_mature_401	1.32994490229141	1.93116404498616	0.180896384741898	-0.395866797637906	0.506308207781624	1.35967447944254	0.209371208419166
Picea_mature_2663	2.32009231555299	-3.8311149030559	-1.86421926505017	2.00091315001356	4.0627779763616	-7.80847458940843	0.296087193278425
Picea_mature_3740	-1.87133843698001	1.19169753537274	-0.363378442856494	1.01836036101019	-0.0553895945037894	1.65573684034157	0.368685984374129
Picea_mature_2104	1.45823659534979	-1.27855140158604	-2.76272515911825	0.139319756680755	4.18732341139594	-5.70090852285078	1.06038666792221
Picea_mature_3455	2.33082335902398	-0.124887930684856	0.129789442455025	-0.994681939608594	-0.0340465999032064	3.95316085118594	0.78874254036481
Picea_mature_1986	0	0	0	1.5869169427121	7.45591120169373	-7.02007373268369	0
Picea_mature_4000	-0.125101621286986	-0.436412654419792	-0.791784382398147	-0.210147850236832	0.555126986262729	-0.785244247300248	1.86839890884006
Picea_mature_3860	0.436310219570318	-0.374817899280411	-0.888675209618674	0.414791606345574	0.223606435851815	1.55001738421149	-0.992856770557181
Picea_mature_1112	-0.892407303869092	0.261641095391019	0.133588714003492	-2.60439607153159	0.285646144137489	-0.203996926614704	2.87096271373514
Picea_mature_1593	0	2.05032264645101	-0.944404296055362	1.0647523847715	-1.22371877718836	1.7390472488316	-1.32580174144798
Picea_mature_4007	-0.217479901774745	0.458742764893439	0.268919738917037	-0.712524535816712	0.572653829373394	-0.6687705916539	1.48041560504368
Picea_mature_4084	0.572763753743116	-1.84793741264251	-2.33675543198797	2.43520259175605	2.07689638106939	-6.60332963756479	-0.14137667580851
Picea_mature_3103	0.526279310509724	2.12487984455524	2.54437168043435	-0.598572858017294	-0.502700030244008	-0.331616094226694	2.83421517152219
Picea_mature_2054	-1.04613695018453	-1.37634293587359	-1.80663814196253	-0.0419772698953446	0.212962266256443	1.6793216796094	1.27448286245644
Picea_mature_1086	-2.18682880347857	4.52298095831954	-0.353901473987949	1.28824868636902	-1.35335080949141	3.33152352184972	-4.71667491156816
Picea_mature_1418	0.570575520124203	0.121867990839606	0.9791503921385	-0.263102466268254	0.314707743011203	-1.33255317519008	3.44654444821242
Picea_mature_3254	2.34117823708768	2.64837526971423	0.0721361426982064	-4.1524380871162	-0.581758575850712	-1.7045749632836	3.75436285042695
Picea_mature_2511	0.264445298676	-0.845248512576191	-3.43521955881779	1.33881324958013	-0.610511426748921	3.87912181520951	-1.26166158021506
Picea_mature_583	1.36455302033603	-0.759543069252691	-2.52021901993721	-0.873612841365636	10.153857549364	-7.9050172051827	-2.38770094945783
Picea_mature_223	0	0	0	1.5868368254211	0.647392976287047	2.18888263582959	3.24041052829626
Picea_mature_13	0.102421148659337	-0.41249203109751	-0.0154521623121879	-0.967412002939591	0.0336872773441154	1.6899179273542	1.49525020513282
Picea_mature_2643	2.02835095995902	-5.39456042231943	-3.63551754972711	-1.66082900829921	2.88924862954484	-2.85716477691057	1.66209158372823
Picea_mature_1736	0.207514968641766	-0.241862491842024	-1.52026144173945	0.874777271004684	1.91422068296898	1.46840702717101	-2.26379708502356
Picea_mature_2464	2.34059178970535	-0.19511010307738	2.11066181606105	-0.411935987334321	0.0421082786762055	1.61052350577688	-1.21499160532552
Picea_mature_2252	2.30537255875955	-5.00564530926658	-5.31023219214806	0.616126551749528	0.622367727039459	0	0.334795172753332
Picea_mature_2113	-0.296756718332787	-0.44481103440495	0.960086904340933	-1.05133687165166	-0.750985957925795	3.45553757449335	-3.73855378839185
Picea_mature_2165	-0.57923633113559	0.0498320223034826	-1.06555961102838	0.8186026989491	-0.955627023186431	2.40873923568193	-0.880242836889772
Picea_mature_681	-1.0203349917579	2.32393427628955	-0.651046871967045	0.0224981957027031	1.87646932256329	-3.61103366189765	2.65858504680688
Picea_mature_4064	0.17122990838907	-0.387705789775492	-0.408835368143277	0.0293118018437897	-0.34362402586509	0.420431394941159	-1.07106585763592
Picea_mature_3701	0.129655281565627	0.103537261056555	-0.312498295439834	-0.867661957872196	-0.581819930797123	1.64722208154287	0.539972750547998
Picea_mature_87	2.15627407650706	-3.42553478426156	-1.15793171307563	2.25701690313476	3.79426185141099	-6.97501486211922	-1.36876126178553
Picea_mature_3924	0.0818538908317335	-0.6262506195773	-0.415363506120466	0.646660952868836	-1.43052080646118	1.998657101304	-0.391457374988322
Picea_mature_1663	0.421034897501443	-3.76121947597313	-3.83308706858023	-0.242813703866582	1.44125253650864	-1.97087934666639	1.26441282792454
Picea_mature_2627	0	0.741851779622655	-5.62979544199622	2.3720132338311	0.645965990292308	6.33511000966163	-0.741673668116646
Picea_mature_3845	2.60828906391492	-4.56757117091398	-1.63751436868285	1.57811028535493	4.71092395256258	-10.0620693592699	2.4572182488474
Picea_mature_1613	0.480903101542681	-1.25812845332631	-0.824160078298437	1.06356971362355	0.194829089235094	0.325574735107659	-1.3919820017047
Picea_mature_2637	0.526271359219035	5.62611759323082	1.22330428042921	-1.51257325011029	-0.655847655421632	-0.637636178043131	-0.166662329933137
Picea_mature_2103	0	0	-3.70170250289368	0.347743263556278	1.35278019678273	1.07466214427042	4.11728757073251
Picea_mature_2864	-0.492585641786936	-2.63428498721167	-2.43294798123691	0.838371238078408	5.65515328390395	-9.78429528622756	1.63392050302404
Picea_mature_3346	1.43371376851109	-1.71392093843588	-1.54235841217853	1.34444714289327	-0.684674299117454	1.52669543663682	-2.15348518968425
Picea_mature_470	0.860686366655863	-1.04214295674824	-1.00602462018181	-0.149990967589875	-0.00331144877188265	1.14905528723697	1.50277473742965
Picea_mature_3728	0	0	0	0	2.39612696960651	-0.987714780995857	5.54187022801742
Picea_mature_2080	0.0476475526324178	-0.260455616661946	0.0181343305082566	0.490527676818257	1.45960184463917	-0.133628564593469	1.68423551769942
Picea_mature_1223	-0.372975275460017	0.350960202623346	-2.04900933087064	-0.247568358751148	1.3063637813275	2.03340115071887	4.09754005378753
Picea_mature_3043	0	0	-4.3750282713651	1.40383776783103	1.18013748967469	2.00152671251428	2.88012676616863
Picea_mature_1745	0	0.0663914144694586	1.0342813141692	1.69283510477286	-0.309451073463902	0.407885645767081	-4.13212744565152
Picea_mature_3422	0.752526686486936	-2.29810848429942	-2.111240206316	2.766841844008	1.97416937689318	-5.50724963771382	-1.84862370537529
Picea_mature_3213	0.0741167175576728	-1.58545541237344	-0.244892097687567	0.411890501197157	1.60427238109009	0.186185619297927	-2.01456470324186
Picea_mature_2787	0.0270676581139935	-1.51723252328102	-2.34545189705616	0.301885393102295	-0.668946223861278	-0.57047793856587	1.56226428439069
Picea_mature_2837	-0.666135871860562	-2.07860938662488	-4.78422918582694	-1.26501475139745	1.73795845828129	-1.38475055647642	1.99353536413466
Picea_mature_2957	-0.82602291508438	-0.154526711664054	-0.00348587709339366	-2.27687856643989	0.158739868769387	-1.49728491920179	3.29593290008743
Picea_mature_211	0.0809601723715568	1.02400199228599	-1.62178593947351	1.47284613084256	-0.369851372185843	3.79672363811077	-2.76576882987343
Picea_mature_987	2.23655492826114	-2.89561570000143	-0.955059039203556	2.12539673035979	1.37220607124359	2.05258417604971	-0.223049816448145
Picea_mature_686	-0.936323706704317	0.158538383658909	1.06497590999842	0.312701092843888	1.12475317029704	3.06368872384016	-0.373017275700055
Picea_mature_783	-0.785944465157828	0.069785872850787	-0.921143228365841	-0.362362589372187	1.15707519999165	0.594823711189988	2.84674229194263
Picea_mature_1756	0.5263040437298	1.72833018902033	0.741039171339757	-0.0125196467493259	-1.06871736538434	-1.89841130416111	-0.688172442833957
Picea_mature_1027	0.0556061968170623	-1.35090443607073	-0.856391359061327	0.703543705326452	-0.638758787450463	0.955625191545919	-0.280338928202738
Picea_mature_989	-0.784342402390153	0.649172418084582	0.0888213813806623	-0.227825980781627	-1.61375712019501	0.451343855781835	-0.404495806258814
Picea_mature_1285	1.47992629939073	4.65931173043075	1.29486083087124	-0.142674804236318	0.180704584819414	1.84063813738575	-2.29024856293309
Picea_mature_1457	0	0	-1.90996194233701	-1.9135355152002	3.48586136206411	-3.04537385969638	5.75931446956062
Picea_mature_817	0.328324229311195	-3.2655461621309	-5.70699349354396	-2.0786913432232	1.45271908546888	0.351094325508803	1.26540322740994
Picea_mature_2220	-1.07254073619726	-0.591042217202148	-0.112995626614041	-0.516331632660462	2.47831516180093	-4.41801416811612	3.49851844162821
Picea_mature_4008	-1.63029737922604	-0.516289208833029	-1.14890786365498	-1.45956348361157	0.445842609103262	1.42751428555907	1.90004658681848
Picea_mature_3132	-1.99332794308633	0	2.75131843051202	-0.0732095476015988	0.4708114315498	-1.17627941902622	4.77007103139366
Picea_mature_1366	3.84151478801116	-3.83733972561777	-2.44963366698994	-1.50815948166421	7.19444325775723	-3.18821229167858	1.15057166863018
Picea_mature_3196	-0.242675949929098	-0.807352758018191	-0.582476427663212	-1.02692760028769	0.852601066280905	-3.57825761577103	2.41811508541471
Picea_mature_2935	0.504077024832122	-1.14347188210493	0.142499320797092	-2.78124336829079	1.51775246976732	2.62586230628225	1.96777311343392
Picea_mature_1527	0.0234063681477494	2.36660215295194	-0.138199026543377	-2.25740154783735	-1.57301910517321	4.76444078183675	5.41968257695372
Picea_mature_3676	-2.32498672352084	1.36549323121982	0.83629997659259	-1.20686154647956	-0.261900467626784	-0.0931912850626413	2.00748932724976
Picea_mature_2739	-0.235779887050916	0.818732367046298	-0.0519013777109458	0.405529394640622	0.434884499714006	-0.22542493805788	-1.92864161028657
Picea_mature_846	0	0	-1.81433264198293	-0.419020489193231	3.73484331180875	-0.25583559500267	-6.56056857656098
Picea_mature_69	0	0	0	1.5705760445416	1.44029387948716	-0.988110023434704	6.22218185353962
Picea_mature_1537	0.783862804111186	-3.46304742381792	0.461539916306664	0.205861084395333	-0.0440480321944246	0.511204665516727	2.6770640771866
Picea_mature_3733	-0.0487701292867067	0.217686504036985	-1.33560953077373	-2.0707002831529	-0.311177273735696	0.512266628175321	1.48892039471062
Picea_mature_2493	0	0	3.48153876550573	-3.94978966918686	0.421454339167716	1.51430222783379	1.80749882186166
Picea_mature_148	-0.987510044391775	1.38300310189746	1.00480302536934	1.27885067316538	-0.347559694537883	-0.0411371048630633	-3.06031726468534
Picea_mature_2114	0.482658386216583	0.581271288325762	-0.584306280508768	-2.07226229656477	0.0185219112258912	-1.75017628976032	2.86206246775452
Picea_mature_2944	0.682848193170857	-2.69718498743484	-1.97005792316449	2.3964022654636	4.12558915864484	-7.92099223844394	0
Picea_mature_1495	-0.150648743282538	-0.264562669704598	-1.15477322443605	-1.38985906977211	0.181550204767194	-0.77079929563962	4.25038658018303
Picea_mature_2003	-0.83912141525122	1.5895078933165	0.874072815165221	-1.85734658933952	1.11379602995725	-1.59329860311178	3.81936652667243
Picea_mature_2758	0.198170826243427	-2.0138447830389	-5.02472375827426	4.09854217889445	4.45164547088165	-7.48920337463085	-0.588835099360504
Picea_mature_3736	-0.305289639236032	0.349688799457466	-1.37502424205692	-0.18079773585518	1.23417246399185	-0.952039865221348	1.89084727665615
Picea_mature_554	2.39912719177495	-0.512172692387494	-0.720908657988836	2.14406052368132	-2.13651111608216	4.54619482726903	-4.42572651259541
Picea_mature_961	1.15568804167561	-4.23230498414802	-7.67400569544457	3.0052868245147	1.12889290013381	-2.11139851217789	-0.588836702018716
Picea_mature_975	-0.346572158199502	0.640456498522716	-1.35015231887273	-1.28391940544778	0.828833419865416	3.87967637725193	2.63852751417096
Picea_mature_75	0.361432472363052	-0.932780644683241	-0.497466155665192	0.357290160303033	1.64210677703259	-3.76580370766136	3.38552723913215
Picea_mature_2997	-2.17002021893763	-0.1224728957923	2.62599640467717	-1.48551697228867	0.814259461864275	1.71441943776989	0.608929366512865
Picea_mature_3092	0.14048937991842	-0.0594306020866129	-0.117980955138442	0.867534192138349	0.458156830492991	0.985294195553656	-1.18724877018962
Picea_mature_853	0.304936043054576	-1.54360845898758	0.779239364544141	0.786089639942723	2.21875048187881	-2.02288991053125	1.13636412068728
Picea_mature_3814	0.798280858310727	-0.361450389991625	0.49182321451347	-1.85668237732593	1.56485659778624	-1.72554337570313	1.37099431425183
Picea_mature_546	-0.373368121632861	-0.570569991289574	-0.7452569838117	-0.366702440784945	0.0439326630674229	1.55737932026726	-0.095638970725857
Picea_mature_1007	1.38606781329037	0.453136782440325	-0.147764653798476	1.24642525137063	1.11951562176726	0.55700938802718	0.732453697821703
Picea_mature_2373	-0.88650634521123	1.60709166644843	0.0401151650793265	-0.26442308699959	-0.899636988188342	0.489387219759117	-3.61428030722249
Picea_mature_3282	1.37982119976959	1.95680742467601	1.85154508627429	-0.271642470028764	-0.784710760450344	-0.387628030072843	0.590206935021614
Picea_mature_765	-0.00332381759475038	-1.12993982684146	0.727079629273876	-0.109523231888124	-1.94472641805181	4.88068844552966	-1.74269106107939
Picea_mature_1480	2.43750240718611	2.32361364999077	-1.25023965565334	-1.80370217306665	1.08678625816965	-1.02770922946757	4.81603092285536
Picea_mature_99	0.312539834703548	-3.172647548281	0.401291915127003	0.27995649822927	0.483651761741411	2.82537266411956	-1.2221304362716
Picea_mature_3163	0.526296443631594	1.5625843113378	0.192465097426859	-0.0176572625186897	-0.840915851262285	1.95650071315022	1.24035060933749
Picea_mature_2486	0.134920583835002	-0.156408346862507	-0.660354070807866	2.09486193957829	-0.532191070578219	1.65577384902296	-2.64329914720827
Picea_mature_1263	-0.485242739562053	-3.6384599408249	-1.47972442187353	1.41050688916856	6.49869342504909	-3.89400497547503	-1.30360487846827
Picea_mature_2271	1.41746149151851	4.5661160448628	-0.424043776462115	-0.203919143733325	0.0915271856782905	2.21133253657411	-0.0654772774398353
Picea_mature_1295	-0.0196469190618485	2.20027853032787	-2.60629634366197	-1.94017699230088	-0.114528468639213	-0.6057050709382	0.885659426046492
Picea_mature_172	0.526305443073547	0	1.09319205040593	-1.98679331358488	2.27266368967584	0.655653582790431	3.26784515299701
Picea_mature_4063	-1.3629672730347	2.01613393984942	0.926784993703217	0.332069710151523	-0.415728335223695	0.428381496840901	2.63330457612423
Picea_mature_1530	-0.245114238764895	0.390957080661499	-0.639157542680923	1.57000921793313	0.836282307482092	-1.63039250039511	-0.421590747531253
Picea_mature_1020	1.9938782646483	-2.43551072652922	-2.49929696880463	3.19209899489783	3.72041005120181	-7.61963268951115	-0.902940918851673
Picea_mature_1712	0	0	3.96302130895371	-3.8113260281537	3.66939976520416	0.49511573725997	-0.952025829574811
Picea_mature_840	-1.85760480594748	0.996501371909564	-0.524033372452771	0.553625366692548	0.606255894651887	-1.65496599794595	0.362666382174137
Picea_mature_550	0.99738022912781	-2.11299945582983	-2.69424119115532	3.21151196867909	1.95592984989103	-5.00870666808384	-2.20783433938227
Picea_mature_904	0.702371769698549	1.75722857023632	1.114046847498	-1.2420803190124	0.283004005198672	-1.13988388347786	3.84057832593268
Picea_mature_97	0	0	0	0	0	2.19441069059792	1.72340583327248
Picea_mature_3462	0	0.6635620257886	-2.11819921553186	-1.06078963310328	-0.16034000712922	0	6.69051535194699
Picea_mature_2877	-0.349406316983181	-2.64842598438673	-4.42638541375808	-0.409260271526443	1.80166195482706	2.59368023818987	-0.0971740785219867
Picea_mature_2272	0.934779744726957	-2.86024194479779	-3.07602390080958	2.32140835187681	3.96534453302326	-4.90354534332805	-2.21136057377445
Picea_mature_3350	0	0	3.09254204471689	-0.46733246797837	2.25697017088144	-0.355830439993978	1.7219425507642
Picea_mature_3105	-0.13809351271403	-0.983203311112885	-1.49243432193551	1.04352330413551	-0.733497073575591	2.87979765902343	-1.99884044836407
Picea_mature_522	0.943621058965817	-1.94451152533716	-0.520490442346138	1.90818059407464	-1.2424499639939	2.01684753731703	-3.49959047169925
Picea_mature_624	-0.919488052773072	0.959585712374327	-1.09219691795273	0.688258641607572	-0.0703013431872882	2.54565633234831	-3.42038768256974
Picea_mature_741	0.369132883913193	-2.7318357890495	-3.06536611314184	1.10378780835691	3.47573520859089	-2.82677302860572	0.288435154818434
Picea_mature_3853	1.92052993449915	-3.42464693252513	-1.49587295450013	2.13461826407832	3.55475744891439	-7.26847070320673	0.442497350089096
Picea_mature_3640	0	0	-3.89759260481682	-1.97226860719856	0	0	5.94639954239642
Picea_mature_3197	0	0	0.395896652426574	0.337336870709453	1.67393518688507	-1.72340500401163	3.13960018836108
Picea_mature_1534	3.10508611875438	1.39058209967095	0.0444799570191507	2.27055008456286	3.51342042919057	-3.64084961024061	-3.47990312195346
Picea_mature_800	-0.406358828038687	0.24023303644495	1.02645910678047	0.86120128517119	0.188139765504802	0.115455619721718	-1.81935226446209
Picea_mature_1894	3.20109274761548	-3.92584608547874	-1.0834938196479	-2.85415062831904	3.52682014344222	3.58269565689124	0.361362555618737
Picea_mature_2249	2.45495077096069	-1.22607420946371	0.627034885250177	0.382271197714387	-0.195983415295115	2.67772459006825	-0.536060518877368
Picea_mature_104	0	0	3.19149863326898	-2.26785234473257	2.44353206172304	1.4957297864094	-0.0753687874594096
Picea_mature_852	0	0	-3.03023785220769	-2.62254757028266	0	0	6.07601948957864
Picea_mature_3194	0	0	0	0	0	0	2.11310731951939
Picea_mature_2154	0.188816942108353	-0.869560353836416	0.38172360474898	-1.39239334706634	0.162952674297995	0.53651483786898	1.80485696288803
Picea_mature_1173	-0.853970818910092	0.473919829356757	-0.718129185725035	-1.12210041385947	-0.371576799034901	0.00631386809953548	1.35902357257244
Picea_mature_1984	0	0.859238488450768	-5.74718091134406	0	5.96894817390262	3.96031851759583	-1.22579796262769
Picea_mature_3146	-0.816891821735219	1.40493594697027	-0.930674922773928	-0.578609534732877	-0.197269238511749	1.78309429640003	-0.262221727944228
Picea_mature_2416	0.405414235280008	-0.984240458019059	-0.987677673474132	-1.76189547537033	-0.0694883476250681	1.43593310860659	2.34612325052099
Picea_mature_1133	0.326815952161209	-2.19842169227274	-0.244435862693691	-2.52330767640423	0.541504851182629	0.891065060107467	3.60951875971322
Picea_mature_2089	0.768203411578197	-0.353434614715712	-0.580182318993137	-0.504425880058456	0.221096993024602	-1.43383187419584	0.766747467662214
